A00;Choléra
R72;Anomalies des globules blancs, non classées ailleurs
R73;Augmentation de la glycémie
R74;Anomalies des taux d'enzymes sériques
R75;Mise en évidence par des examens de laboratoire du virus de
R76;Autres anomalies de résultats immunologiques sériques
R77;Autres anomalies des protéines plasmatiques
R78;Présence de drogues et d'autres substances non trouvées normalement
R79;Autres résultats anormaux des examens chimiques du sang
R80;Protéinurie isolée
R81;Glycosurie
R82;Autres résultats anormaux de l'examen des urines
R83;Résultats anormaux de l'examen du liquide céphalorachidien
R84;Résultats anormaux de prélèvements effectués sur l'appareil
R85;Résultats anormaux de prélèvements effectués sur l'appareil digestif
R86;Résultats anormaux de prélèvements effectués sur les organes
R87;Résultats anormaux de prélèvements effectués sur les organes
R89;Résultats anormaux de prélèvements effectués sur d'autres organes,
R90;Résultats anormaux d'imagerie diagnostique du système nerveux
R91;Résultats anormaux d'imagerie diagnostique du poumon
R92;Résultats anormaux d'imagerie diagnostique du sein
R93;Résultats anormaux d'imagerie diagnostique d'autres parties du corps
R94;Résultats anormaux d'explorations fonctionnelles
R95;Syndrome de la mort subite du nourrisson
R96;Autre mort subite de cause inconnue
R98;Décès sans témoin
R99;Autres causes de mortalité mal définies et non précisées
S00;Lésion traumatique superficielle de la tête
S01;Plaie ouverte de la tête
S02;Fracture du crâne et des os de la face
S03;Luxation, entorse et foulure d'articulations et de ligaments de la
S04;Lésion traumatique des nerfs crâniens
S05;Lésion traumatique de l'œil et de l'orbite
S06;Lésion traumatique intracrânienne
S07;Écrasement de la tête
S08;Amputation traumatique d'une partie de la tête
S09;Lésions traumatiques de la tête, autres et sans précision
S10;Lésion traumatique superficielle du cou
S11;Plaie ouverte du cou
S12;Fracture du cou
S13;Luxation, entorse et foulure des articulations et des ligaments au
S14;Lésion traumatique des nerfs et de la moelle épinière au niveau du
S15;Lésion traumatique des vaisseaux sanguins au niveau du cou
S16;Lésion traumatique des muscles et des tendons au niveau du cou
S17;Écrasement du cou
S18;Amputation traumatique au niveau du cou
S19;Lésions traumatiques du cou, autres et sans précision
S20;Lésion traumatique superficielle du thorax
S21;Plaie ouverte du thorax
S22;Fracture de côte(s), du sternum et du rachis dorsal
S23;Luxation, entorse et foulure des articulations et des ligaments du
S24;Lésion traumatique des nerfs et de la moelle épinière au niveau du
S25;Lésion traumatique de vaisseaux sanguins du thorax
S26;Lésion traumatique du cœur
S27;Lésions traumatiques d'organes intrathoraciques, autres et non
S28;Écrasement du thorax et amputation traumatique d'une partie du
S29;Lésions traumatiques du thorax, autres et sans précision
S30;Lésion traumatique superficielle de l'abdomen, des lombes et du
S31;Plaie ouverte de l'abdomen, des lombes et du bassin
S32;Fracture du rachis lombaire et du bassin
S33;Luxation, entorse et foulure des articulations et des ligaments du
S34;Lésion traumatique des nerfs et de la moelle épinière lombaire au
S35;Lésion traumatique de vaisseaux sanguins au niveau de l'abdomen, des
S36;Lésion traumatique d'organes intraabdominaux
S37;Lésion traumatique des organes urinaires et pelviens
S38;Écrasement et amputation traumatique d'une partie de l'abdomen, des
S39;Lésions traumatiques de l'abdomen, des lombes et du bassin, autres
S40;Lésion traumatique superficielle de l'épaule et du bras
S41;Plaie ouverte de l'épaule et du bras
S42;Fracture de l'épaule et du bras
S43;Luxation, entorse et foulure des articulations et des ligaments de
S44;Lésion traumatique de nerfs au niveau de l'épaule et du bras
S45;Lésion des vaisseaux sanguins au niveau de l'épaule et du bras
S46;Lésion traumatique de muscles et de tendons au niveau de l'épaule et
S47;Écrasement de l'épaule et du bras
S48;Amputation traumatique de l'épaule et du bras
S49;Lésions traumatiques de l'épaule et du bras, autres et sans
S50;Lésion traumatique superficielle de l'avant-bras
S51;Plaie ouverte de l'avant-bras
S52;Fracture de l'avant-bras
S53;Luxation, entorse et foulure des articulations et des ligaments du
S54;Lésion traumatique de nerfs au niveau de l'avant-bras
S55;Lésion traumatique de vaisseaux sanguins au niveau de l'avant-bras
S56;Lésion traumatique de muscles et de tendons au niveau de
S57;Écrasement de l'avant-bras
S58;Amputation traumatique de l'avant-bras
S59;Lésions traumatiques de l'avant-bras, autres et sans précision
S60;Lésion traumatique superficielle du poignet et de la main
S61;Plaie ouverte du poignet et de la main
S62;Fracture au niveau du poignet et de la main
S63;Luxation, entorse et foulure d'articulations et de ligaments au
S64;Lésion traumatique de nerfs au niveau du poignet et de la main
S65;Lésion traumatique de vaisseaux sanguins au niveau du poignet et de
S66;Lésion traumatique de muscles et de tendons au niveau du poignet et
S67;Écrasement du poignet et de la main
S68;Amputation traumatique du poignet et de la main
S69;Lésions traumatiques du poignet et de la main, autres et sans
S70;Lésion traumatique superficielle de la hanche et de la cuisse
S71;Plaie ouverte de la hanche et de la cuisse
S72;Fracture du fémur
S73;Luxation, entorse et foulure de l'articulation et des ligaments de
S74;Lésion traumatique de nerfs au niveau de la hanche et de la cuisse
S75;Lésion traumatique de vaisseaux sanguins au niveau de la hanche et
S76;Lésion traumatique de muscles et de tendons au niveau de la hanche
S77;Écrasement de la hanche et de la cuisse
S78;Amputation traumatique de la hanche et de la cuisse
S79;Lésions traumatiques de la hanche et de la cuisse, autres et sans
S80;Lésion traumatique superficielle de la jambe
S81;Plaie ouverte de la jambe
S82;Fracture de la jambe, y compris la cheville
S83;Luxation, entorse et foulure des articulations et des ligaments du
S84;Lésion traumatique des nerfs au niveau de la jambe
S85;Lésion traumatique de vaisseaux sanguins au niveau de la jambe
S86;Lésion traumatique de muscles et de tendons au niveau de la jambe
S87;Écrasement de la jambe
S88;Amputation traumatique de la jambe
S89;Lésions traumatiques de la jambe, autres et sans précision
S90;Lésion traumatique superficielle de la cheville et du pied
S91;Plaie ouverte de la cheville et du pied
S92;Fracture du pied, sauf la cheville
S93;Luxation, entorse et foulure des articulations et des ligaments au
S94;Lésion traumatique des nerfs au niveau de la cheville et du pied
S95;Lésion traumatique de vaisseaux sanguins au niveau de la cheville et
S96;Lésion traumatique de muscles et de tendons au niveau de la cheville
S97;Écrasement de la cheville et du pied
S98;Amputation traumatique de la cheville et du pied
S99;Lésions traumatiques de la cheville et du pied, autres et sans
T00;Lésions traumatiques superficielles de plusieurs parties du corps
T01;Plaies ouvertes de plusieurs parties du corps
T02;Fractures de plusieurs parties du corps
T03;Luxations, entorses et foulures de plusieurs parties du corps
T04;Écrasements de plusieurs parties du corps
T05;Amputations traumatiques de plusieurs parties du corps
T06;Autres lésions traumatiques de plusieurs parties du corps, non
T07;Lésions traumatiques multiples, sans précision
T08;Fracture du rachis, niveau non précisé
T080;Fracture du rachis, niveau non précisé: Fracture fermée
T081;Fracture du rachis, niveau non précisé: Fracture ouverte
T09;Autres lésions traumatiques du rachis et du tronc, niveau non
T10;Fracture du membre supérieur, niveau non précisé
T100;Fracture du membre supérieur, niveau non précisé: Fracture fermée
T101;Fracture du membre supérieur, niveau non précisé: Fracture ouverte
T11;Autres lésions traumatiques du membre supérieur, niveau non précisé
T12;Fracture d'un membre inférieur, niveau non précisé
T120;Fracture d'un membre inférieur, niveau non précisé: Fracture fermée
T121;Fracture d'un membre inférieur, niveau non précisé: Fracture ouverte
T13;Autres lésions traumatiques du membre inférieur, niveau non précisé
T14;Lésions traumatiques d'une partie du corps non précisée
T15;Corps étranger dans la partie externe de l'œil
T16;Corps étranger dans l'oreille
T17;Corps étranger dans les voies respiratoires
T18;Corps étranger dans les voies digestives
T19;Corps étranger dans les voies génito-urinaires
T20;Brulure et corrosion de la tête et du cou
T21;Brulure et corrosion du tronc
T22;Brulure et corrosion de l'épaule et du membre supérieur, sauf
T23;Brulure et corrosion du poignet et de la main
T24;Brulure et corrosion de la hanche et du membre inférieur, sauf
T25;Brulure et corrosion de la cheville et du pied
T26;Brulure et corrosion limitées à l'œil et ses annexes
T27;Brulure et corrosion des voies respiratoires
T28;Brulure et corrosion d'autres organes internes
T29;Brulures et corrosions de parties multiples du corps
T30;Brulure et corrosion, partie du corps non précisée
T31;Brulures classées selon l'étendue de la surface du corps atteinte
T32;Corrosions classées selon l'étendue de la surface du corps atteinte
T33;Gelure superficielle
T34;Gelure avec nécrose des tissus
T35;Gelure de parties multiples du corps et sans précision
T36;Intoxication par antibiotiques systémiques
T37;Intoxication par d'autres antiinfectieux et antiparasitaires
T38;Intoxication par hormones et leurs substituts synthétiques et
T39;Intoxication par analgésiques non opioïdes, antipyrétiques et
T40;Intoxication par narcotiques et psychodysleptiques [hallucinogènes]
T41;Intoxication par anesthésiques et gaz thérapeutiques
T42;Intoxication par antiépileptiques, sédatifs, hypnotiques et
T43;Intoxication par médicaments psychotropes, non classés ailleurs
T44;Intoxication par médicaments agissant essentiellement sur le système
T45;Intoxication par substances essentiellement systémiques et
T46;Intoxication par substances agissant essentiellement sur le système
T47;Intoxication par substances agissant essentiellement sur le tractus
T48;Intoxication par substances agissant essentiellement sur les muscles
T49;Intoxication par substances à usage topique agissant essentiellement
T50;Intoxication par diurétiques et médicaments et substances
T51;Effet toxique de l'alcool
T52;Effet toxique de solvants organiques
T53;Effet toxique de dérivés halogénés d'hydrocarbures aliphatiques et
T54;Effet toxique de substances corrosives
T55;Effet toxique de savons et détergents
T56;Effet toxique des métaux
T57;Effet toxique d'autres substances non organiques
T58;Effet toxique du monoxyde de carbone
T59;Effets toxiques d'autres émanations, gaz et fumées
T60;Effet toxique de pesticides
T61;Effet toxique de substances nocives absorbées par le biais de fruits
T62;Effet toxique d'autres substances nocives absorbées par le biais
T63;Effet toxique d'un contact avec un animal venimeux
T64;Effet toxique de l'aflatoxine et d'autres mycotoxines contaminant
T65;Effet toxique de substances autres et non précisées
T66;Effets de rayonnements, sans précision
T67;Effets de la chaleur et de la lumière
T68;Hypothermie
T69;Autres effets d'une baisse de la température
T70;Effets de la pression atmosphérique et de la pression de l'eau
T71;Asphyxie
T73;Effets d'autres privations
T74;Syndromes dus à de mauvais traitements
T75;Effets d'autres causes externes
T78;Effets indésirables, non classés ailleurs
T79;Certaines complications précoces des traumatismes, non classées
T80;Complications consécutives à une injection thérapeutique, une
T81;Complications d'actes à visée diagnostique et thérapeutique, non
T82;Complications de prothèses, implants et greffes cardiaques et
T83;Complications de prothèses, implants et greffes génito-urinaires
T84;Complications de prothèses, implants et greffes orthopédiques
T85;Complications d'autres prothèses, implants et greffes internes
T86;Échec et rejet d'organes et de tissus greffés
T87;Complications propres à une réimplantation et une amputation
T88;Autres complications de soins chirurgicaux et médicaux, non classées
T90;Séquelles de lésions traumatiques de la tête
T91;Séquelles de lésions traumatiques du cou et du tronc
T92;Séquelles de lésions traumatiques du membre supérieur
T93;Séquelles de lésions traumatiques du membre inférieur
T94;Séquelles de lésions traumatiques de parties du corps multiples et
T95;Séquelles de brulures, corrosions et gelures
T96;Séquelles d'intoxications par médicaments et substances biologiques
T97;Séquelles d'effets toxiques de substances d'origine essentiellement
T98;Séquelles de causes externes, autres et sans précision
V01;Piéton blessé dans une collision avec un cycle
V02;Piéton blessé dans une collision avec un véhicule à moteur à deux ou
V03;Piéton blessé dans une collision avec une automobile ou une
V04;Piéton blessé dans une collision avec un véhicule lourd ou un
V05;Piéton blessé dans une collision avec un train ou un véhicule
V06;Piéton blessé dans une collision avec un autre véhicule sans moteur
V09;Piéton blessé dans des accidents de transport, autres et sans
V10;Cycliste blessé dans une collision avec un piéton ou un animal
V11;Cycliste blessé dans une collision avec un autre cycle
V12;Cycliste blessé dans une collision avec un véhicule à moteur à deux
V13;Cycliste blessé dans une collision avec une automobile ou une
V14;Cycliste blessé dans une collision avec un vehicule lourd ou un
V15;Cycliste blessé dans une collision avec un train ou un véhicule
V16;Cycliste blessé dans une collision avec un autre véhicule sans
V17;Cycliste blessé dans une collision avec un objet fixe ou
V18;Cycliste blessé dans un accident de transport, sans collision
V19;Cycliste blessé dans des accidents de transport, autres et sans
V20;Motocycliste blessé dans une collision avec un piéton ou un animal
V21;Motocycliste blessé dans une collision avec un cycle
V22;Motocycliste blessé dans une collision avec un véhicule à moteur à
V23;Motocycliste blessé dans une collision avec une automobile ou une
V24;Motocycliste blessé dans une collision avec un véhicule lourd ou un
V25;Motocycliste blessé dans une collision avec un train ou un véhicule
V26;Motocycliste blessé dans une collision avec un autre véhicule sans
V27;Motocycliste blessé dans une collision avec un objet fixe ou
V28;Motocycliste blessé dans un accident de transport, sans collision
V29;Motocycliste blessé dans des accidents de transport, autres et sans
V30;Occupant d'un véhicule à moteur à trois roues, blessé dans une
V31;Occupant d'un véhicule à moteur à trois roues blessé dans une
V32;Occupant d'un véhicule à moteur à trois roues blessé dans une
V33;Occupant d'un véhicule à moteur à trois roues blessé dans une
V34;Occupant d'un véhicule à moteur à trois roues blessé dans une
V35;Occupant d'un véhicule à moteur à trois roues blessé dans une
V36;Occupant d'un véhicule à moteur à trois roues blessé dans une
V37;Occupant d'un véhicule à moteur à trois roues blessé dans une
V38;Occupant d'un véhicule à moteur à trois roues blessé dans un
V39;Occupant d'un véhicule à moteur à trois roues blessé dans des
V40;Occupant d'une automobile blessé dans une collision avec un piéton
V41;Occupant d'une automobile blessé dans une collision avec un cycle
V42;Occupant d'une automobile blessé dans une collision avec un véhicule
V43;Occupant d'une automobile blessé dans une collision avec une
V44;Occupant d'une automobile blessé dans une collision avec un véhicule
V45;Occupant d'une automobile blessé dans une collision avec un train ou
V46;Occupant d'une automobile blessé dans une collision avec un autre
V47;Occupant d'une automobile blessé dans une collision avec un objet
V48;Occupant d'une automobile blessé dans un accident de transport, sans
V49;Occupant d'une automobile blessé dans des accidents de transport,
V50;Occupant d'une camionnette blessé dans une collision avec un piéton
V51;Occupant d'une camionnette blessé dans une collision avec un cycle
V52;Occupant d'une camionnette blessé dans une collision avec un
V53;Occupant d'une camionnette blessé dans une collision avec une
V54;Occupant d'une camionnette blessé dans une collision avec un
V55;Occupant d'une camionnette blessé dans une collision avec un train
V56;Occupant d'une camionnette blessé dans une collision avec un autre
V57;Occupant d'une camionnette blessé dans une collision avec un objet
V58;Occupant d'une camionnette blessé dans un accident de transport,
V59;Occupant d'une camionnette blessé dans des accidents de transport,
V60;Occupant d'un véhicule lourd blessé dans une collision avec un
V61;Occupant d'un véhicule lourd blessé dans une collision avec un cycle
V62;Occupant d'un véhicule lourd blessé dans une collision avec un
V63;Occupant d'un véhicule lourd blessé dans une collision avec une
V64;Occupant d'un véhicule lourd blessé dans une collision avec un
V65;Occupant d'un véhicule lourd blessé dans une collision avec un train
V66;Occupant d'un véhicule lourd blessé dans une collision avec un autre
V67;Occupant d'un véhicule lourd blessé dans une collision avec un objet
V68;Occupant d'un véhicule lourd blessé dans un accident de transport,
V69;Occupant d'un véhicule lourd blessé dans des accidents de transport,
V70;Occupant d'un autobus blessé dans une collision avec un piéton ou un
V71;Occupant d'un autobus blessé dans une collision avec un cycle
V72;Occupant d'un autobus blessé dans une collision avec un véhicule à
V73;Occupant d'un autobus blessé dans une collision avec une automobile
V74;Occupant d'un autobus blessé dans une collision avec un véhicule
V75;Occupant d'un autobus blessé dans une collision avec un train ou un
V76;Occupant d'un autobus blessé dans une collision avec un autre
V77;Occupant d'un autobus blessé dans une collision avec un objet fixe
V78;Occupant d'un autobus blessé dans un accident de transport, sans
V79;Occupant d'un autobus blessé dans des accidents de transport, autres
V80;Personne montant un animal ou occupant un véhicule à traction
V81;Occupant d'un train ou d'un véhicule ferroviaire blessé dans un
V82;Occupant d'un tramway blessé dans un accident de transport
V83;Occupant d'un véhicule spécial utilisé essentiellement sur un site
V84;Occupant d'un véhicule spécial utilisé essentiellement pour des
V85;Occupant d'un véhicule spécial de construction blessé dans un
V86;Occupant d'un véhicule spécial tout-terrain ou autre véhicule à
V87;Accident de la circulation d'un type précisé, sans que soit connu le
V88;Accident en dehors de la circulation d'un type précisé, sans que
V89;Accident avec un véhicule avec ou sans moteur, type de véhicule non
V90;Accident de bateau entraînant la noyade et la submersion
V91;Accident de bateau provoquant d'autres lésions traumatiques
V92;Noyade et submersion durant un transport par eau, sans accident de
V93;Accident à bord d'un bateau, sans accident du bateau, ne causant ni
V94;Accidents de transport par eau, autres et sans précision
V95;Accident d'aéronef à moteur dans lequel un occupant est blessé
V96;Accident d'aéronef sans moteur dans lequel un occupant est blessé
V97;Autres accidents de transport aérien précisés
V98;Autres accidents de transport précisés
V99;Accident de transport, sans précision
W00;Chute de plain-pied due à la glace et la neige
W01;Chute de plain-pied résultant de glissade, faux-pas et trébuchement
W02;Chute impliquant des patins à glace, des skis, des patins à
W03;Autre chute de plain-pied due à une collision avec un tiers ou une
W04;Chute, en étant porté ou soutenu par des tiers
W05;Chute d'un fauteuil roulant
W06;Chute d'un lit
W07;Chute d'une chaise
W08;Chute d'un autre meuble
W09;Chute du haut d'agrès équipant un terrain de jeux
W10;Chute dans et d'un escalier et de marches
W11;Chute sur ou d'une échelle
W12;Chute sur ou d'un échafaudage
W13;Chute du haut d'un bâtiment ou d'un autre ouvrage
W14;Chute du haut d'un arbre
W15;Chute d'une falaise
W16;Plongée ou saut dans l'eau provoquant une lésion traumatique autre
W17;Autre chute d'un niveau à un autre
W18;Autre chute de plain-pied
W19;Chute, sans précision
W20;Heurt causé par le lancement ou la chute d'un objet
W21;Heurt contre ou par du matériel de sport
W22;Heurt contre ou par d'autres objets
W23;Compression, écrasement ou blocage dans des objets ou entre des
W24;Contact avec des dispositifs de levage et de transmission, non
W25;Contact avec du verre tranchant
W26;Contact avec un couteau, une épée ou un poignard
W27;Contact avec un outil à main non électrique
W28;Contact avec tondeuse à gazon à moteur
W29;Contact avec d'autres outils manuels électriques et appareils
W30;Contact avec du matériel agricole
W31;Contact avec des appareils, autres et sans précision
W32;Décharge d'arme de poing
W33;Décharge de fusil, de carabine et d'arme de plus grande taille
W34;Décharge d'armes, autres et sans précision
W35;Explosion et éclatement d'une chaudière
W36;Explosion et éclatement d'une bouteille de gaz
W37;Explosion et éclatement de pneumatique ou de tuyau sous pression
W38;Explosion et éclatement d'autres appareils précisés sous pression
W39;Projections de feu d'artifice
W40;Explosion d'autres matériaux
W41;Exposition à un jet à haute pression
W42;Exposition au bruit
W43;Exposition aux vibrations
W44;Corps étranger pénétrant dans l'œil ou un orifice naturel
W45;Corps étranger ou objet pénétrant dans la peau
W46;Contact avec aiguille à usage médical [aiguille hypodermique]
W49;Exposition à des forces mécaniques, autres et sans précision
W50;Coup, torsion, morsure ou écorchure infligés par un tiers
W51;Collision entre deux personnes
W52;Ecrasement, poussée ou piétinement par une foule humaine
W53;Morsure de rat
W54;Morsure ou coup donné par un chien
W55;Morsure ou coup donné par d'autres mammifères
W56;Contact avec un animal marin
W57;Morsure ou piqure non venimeuse d'insectes et autres arthropodes
W58;Morsure ou coup donné par un crocodile ou un alligator
W59;Morsure ou écrasement par d'autres reptiles
W60;Contact avec des épines de plantes et des feuilles acérées
W64;Exposition à des forces animées, autres et sans précision
W65;Noyade et submersion dans une baignoire
W66;Noyade et submersion consécutives à une chute dans une baignoire
W67;Noyade et submersion dans une piscine
W68;Noyade et submersion consécutives à une chute dans une piscine
W69;Noyade et submersion dans des eaux naturelles
W70;Noyade et submersion consécutives à une chute dans des eaux
W73;Autres formes de noyade et submersion précisées
W74;Noyade et submersion, sans précision
W75;Suffocation et strangulation accidentelles dans un lit
W76;Autre pendaison et strangulation accidentelles
W77;Danger pour la respiration dû à un affaissement du sol, une coulée
W78;Inhalation du contenu de l'estomac
W79;Inhalation et ingestion d'aliments provoquant une obstruction des
W80;Inhalation et ingestion d'autres objets provoquant une obstruction
W81;Confinement ou emprisonnement dans un environnement pauvre en
W83;Autres dangers pour la respiration
W84;Danger pour la respiration, sans précision
W85;Exposition aux lignes électriques
W86;Exposition à d'autres formes précisées de courant électrique
W87;Exposition au courant électrique, sans précision
W88;Exposition aux rayonnements ionisants
W89;Exposition à une source lumineuse artificielle visible et aux
W90;Exposition à d'autres rayonnements non ionisants
W91;Exposition aux rayonnements, sans précision
W92;Exposition à une chaleur artificielle excessive
W93;Exposition à un froid artificiel excessif
W94;Exposition à une dépression et une hyperpression et à des
W99;Exposition à des facteurs propres à un environnement artificiel,
X00;Exposition à un feu non maitrisé, dans un bâtiment ou un ouvrage
X01;Exposition à un feu non maitrisé, hors d'un bâtiment ou d'un ouvrage
X02;Exposition à un feu maitrisé, dans un bâtiment ou un ouvrage
X03;Exposition à un feu maitrisé, hors d'un bâtiment ou d'un ouvrage
X04;Exposition à l'inflammation d'une substance très inflammable
X05;Exposition à l'inflammation ou la fonte de vêtements de nuit
X06;Exposition à l'inflammation ou la fonte d'autres vêtements et
X08;Exposition à d'autres fumées, feux et flammes précisés
X09;Exposition à la fumée, au feu et aux flammes, sans précision
X10;Contact avec des boissons, aliments, graisses comestibles et huiles
X11;Contact avec de l'eau bouillante provenant d'un robinet
X12;Contact avec d'autres liquides brulants
X13;Contact avec de la vapeur d'eau et des vapeurs brulantes
X14;Contact avec de l'air et des gaz brulants
X15;Contact avec des appareils ménagers brulants
X16;Contact avec des appareils de chauffage, radiateurs et tuyaux
X17;Contact avec des moteurs, des machines et des outils brulants
X18;Contact avec d'autres métaux chauffés
X19;Contact avec des sources de chaleur et des substances brulantes,
X20;Contact avec des serpents et des lézards venimeux
X21;Contact avec des araignées venimeuses
X22;Contact avec des scorpions
X23;Contact avec des frelons, guêpes et abeilles
X24;Contact avec des centipodes et myriapodes venimeux (tropicaux)
X25;Contact avec d'autres arthropodes venimeux
X26;Contact avec des animaux venimeux marins et des plantes vénéneuses
X27;Contact avec d'autres animaux venimeux précisés
X28;Contact avec d'autres plantes vénéneuses précisées
X29;Contact avec un animal venimeux ou une plante vénéneuse, sans
X30;Exposition à une chaleur naturelle excessive
X31;Exposition à un froid naturel excessif
X32;Exposition à la lumière solaire
X33;Victime de la foudre
X34;Victime d'un tremblement de terre
X35;Victime d'éruption volcanique
X36;Victime d'avalanche, glissement de terrain et autres mouvements
X37;Victime de tempête cataclysmique
X38;Inondation
X39;Exposition à des forces de la nature, autres et sans précision
X40;Intoxication accidentelle par des analgésiques, antipyrétiques et
X41;Intoxication accidentelle par des antiépileptiques, sédatifs,
X42;Intoxication accidentelle par des narcotiques et psychodysleptiques
X43;Intoxication accidentelle par d'autres substances pharmacologiques
X44;Intoxication accidentelle par des médicaments et substances
X45;Intoxication accidentelle par l'alcool et exposition à l'alcool
X46;Intoxication accidentelle par des solvants organiques et des
X47;Intoxication accidentelle par d'autres gaz et émanations et
X48;Intoxication accidentelle par des pesticides et exposition à ces
X49;Intoxication accidentelle par des produits chimiques et substances
X50;Surmenage et mouvements épuisants ou répétés
X51;Voyage et mouvement
X52;Séjour prolongé en apesanteur
X53;Privation d'aliments
X54;Privation d'eau
X57;Privation, sans précision
X58;Exposition à d'autres facteurs précisés
X59;Exposition à des facteurs, sans précision
X60;Auto-intoxication par des analgésiques, antipyrétiques et
X61;Auto-intoxication par des antiépileptiques, sédatifs, hypnotiques,
X62;Auto-intoxication par des narcotiques et psychodysleptiques
X63;Auto-intoxication par d'autres substances pharmacologiques agissant
X64;Auto-intoxication par des médicaments et substances biologiques et
X65;Auto-intoxication par l'alcool et exposition à l'alcool
X66;Auto-intoxication par des solvants organiques et des hydrocarbures
X67;Auto-intoxication par d'autres gaz et émanations et exposition à ces
X68;Auto-intoxication par des pesticides et exposition à ces produits
X69;Auto-intoxication par des produits chimiques et substances nocives
X70;Lésion auto-infligée par pendaison, strangulation et suffocation
X71;Lésion auto-infligée par noyade et submersion
X72;Lésion auto-infligée par décharge d'une arme de poing
X73;Lésion auto-infligée par décharge de fusil, de carabine et d'arme de
X74;Lésion auto-infligée par décharge d'armes à feu, autres et sans
X75;Lésion auto-infligée par utilisation de matériel explosif
X76;Lésion auto-infligée par exposition à la fumée, au feu et aux
X77;Lésion auto-infligée par exposition à la vapeur d'eau, à des gaz et
X78;Lésion auto-infligée par utilisation d'objet tranchant
X79;Lésion auto-infligée par utilisation d'objet contondant
X80;Lésion auto-infligée par saut dans le vide
X81;Lésion auto-infligée en sautant ou en se couchant devant un objet en
X82;Lésion auto-infligée par collision d'un véhicule à moteur
X83;Lésion auto-infligée par d'autres moyens précisés
X84;Lésion auto-infligée par un moyen non précisé
X85;Agression par médicaments et substances biologiques
X86;Agression par une substance corrosive
X87;Agression par des pesticides
X88;Agression par des gaz et émanations
X89;Agression par d'autres produits chimiques et nocifs précisés
X90;Agression par un produit chimique ou nocif, sans précision
X91;Agression par pendaison, strangulation et suffocation
X92;Agression par noyade et submersion
X93;Agression par arme de poing
X94;Agression par fusil, carabine et arme de plus grande taille
X95;Agression par des armes à feu, autres et sans précision
X96;Agression par matériel explosif
X97;Agression par la fumée, le feu et les flammes
X98;Agression par la vapeur d'eau, des gaz et objets brulants
X99;Agression par objet tranchant
Y00;Agression par objet contondant
Y01;Agression par précipitation dans le vide
Y02;Agression en poussant ou plaçant la victime devant un objet en
Y03;Agression en provoquant une collision de véhicule à moteur
Y04;Agression par la force physique
Y05;Agression sexuelle par la force physique
Y06;Délaissement et abandon
Y07;Autres mauvais traitements
Y08;Agression par d'autres moyens précisés
Y09;Agression par un moyen non précisé
Y10;Intoxication par des analgésiques, antipyrétiques et
Y11;Intoxication par des antiépileptiques, sédatifs, hypnotiques,
Y12;Intoxication par des narcotiques et psychodysleptiques
Y13;Intoxication par d'autres substances pharmacologiques agissant sur
Y14;Intoxication par des médicaments et substances biologiques, autres
Y15;Intoxication par l'alcool et exposition à l'alcool, intention non
Y16;Intoxication par des solvants organiques et des hydrocarbures
Y17;Intoxication par d'autres gaz et émanations et exposition à ces
Y18;Intoxication par des pesticides et exposition à ces produits,
Y19;Intoxication par des produits chimiques et substances nocives et
Y20;Pendaison, strangulation et suffocation, intention non déterminée
Y21;Noyade et submersion, intention non déterminée
Y22;Décharge d'une arme de poing, intention non déterminée
Y23;Décharge de fusil, de carabine et d'arme de plus grande taille,
Y24;Décharge d'armes à feu, autres et sans précision, intention non
Y25;Contact avec matériel explosif, intention non déterminée
Y26;Exposition à la fumée, au feu et aux flammes, intention non
Y27;Contact avec de la vapeur d'eau, des gaz et objets brulants,
Y28;Contact avec objet tranchant, intention non déterminée
Y29;Contact avec objet contondant, intention non déterminée
Y30;Chute, saut ou précipitation dans le vide, intention non déterminée
Y31;Lésion traumatique par un objet en mouvement (la victime étant
Y32;Collision de véhicule à moteur, intention non déterminée
Y33;Autres événements précisés, intention non déterminée
Y34;Evénement sans précision, intention non déterminée
Y35;Intervention de la force publique
Y36;Faits de guerre
Y40;Antibiotiques systémiques
Y41;Autres antiinfectieux et antiparasitaires systémiques
Y42;Hormones et leurs substituts synthétiques et antagonistes, non
Y43;Substances d'action pharmacologique essentiellement systémique
Y44;Substances agissant essentiellement sur les constituants du sang
Y45;Médicaments analgésiques, antipyrétiques et antiinflammatoires
Y46;Antiépileptiques et antiparkinsoniens
Y47;Sédatifs, hypnotiques et tranquillisants
Y48;Anesthésiques et gaz thérapeutiques
Y49;Médicaments psychotropes, non classés ailleurs
Y50;Stimulants du système nerveux central, non classés ailleurs
Y51;Médicaments agissant essentiellement sur le système nerveux autonome
Y52;Substances agissant essentiellement sur le système cardiovasculaire
Y53;Substances agissant essentiellement sur le tractus gastro-intestinal
Y54;Médicaments agissant essentiellement sur le métabolisme de l'eau,
Y55;Substances agissant essentiellement sur les muscles lisses et striés
Y56;Substances à usage topique agissant essentiellement sur la peau et
Y57;Substances médicamenteuses, autres et sans précision
Y58;Vaccins bactériens
Y59;Vaccins et substances biologiques, autres et sans précision
Y60;Coupure, piqure, perforation ou hémorragie accidentelles au cours
Y61;Corps étranger accidentellement laissé dans l'organisme au cours
Y62;Asepsie insuffisante au cours d'actes médicaux et chirurgicaux
Y63;Erreur de dosage au cours d'actes médicaux et chirurgicaux
Y64;Substances médicales ou biologiques contaminées
Y65;Autres accidents et complications au cours d'actes médicaux et
Y66;Non-administration de soins médicaux et chirurgicaux
